date,timestamp,timestamp_ms,body_battery_level
2026-03-03,2026-03-03 04:48:00,1772513280000,65
2026-03-03,2026-03-03 04:51:00,1772513460000,65
2026-03-03,2026-03-03 04:54:00,1772513640000,66
2026-03-03,2026-03-03 04:57:00,1772513820000,66
2026-03-03,2026-03-03 05:00:00,1772514000000,67
2026-03-03,2026-03-03 05:03:00,1772514180000,67
2026-03-03,2026-03-03 05:06:00,1772514360000,68
2026-03-03,2026-03-03 05:09:00,1772514540000,68
2026-03-03,2026-03-03 05:12:00,1772514720000,68
2026-03-03,2026-03-03 05:15:00,1772514900000,69
2026-03-03,2026-03-03 05:18:00,1772515080000,69
2026-03-03,2026-03-03 05:21:00,1772515260000,69
2026-03-03,2026-03-03 05:24:00,1772515440000,70
2026-03-03,2026-03-03 05:27:00,1772515620000,71
2026-03-03,2026-03-03 05:30:00,1772515800000,71
2026-03-03,2026-03-03 05:33:00,1772515980000,72
2026-03-03,2026-03-03 05:36:00,1772516160000,73
2026-03-03,2026-03-03 05:39:00,1772516340000,73
2026-03-03,2026-03-03 05:42:00,1772516520000,74
2026-03-03,2026-03-03 05:45:00,1772516700000,75
2026-03-03,2026-03-03 05:48:00,1772516880000,75
2026-03-03,2026-03-03 05:51:00,1772517060000,76
2026-03-03,2026-03-03 05:54:00,1772517240000,76
2026-03-03,2026-03-03 05:57:00,1772517420000,77
2026-03-03,2026-03-03 06:00:00,1772517600000,77
2026-03-03,2026-03-03 06:03:00,1772517780000,77
2026-03-03,2026-03-03 06:06:00,1772517960000,79
2026-03-03,2026-03-03 06:09:00,1772518140000,79
2026-03-03,2026-03-03 06:12:00,1772518320000,80
2026-03-03,2026-03-03 06:15:00,1772518500000,80
2026-03-03,2026-03-03 06:18:00,1772518680000,81
2026-03-03,2026-03-03 06:21:00,1772518860000,81
2026-03-03,2026-03-03 06:24:00,1772519040000,81
2026-03-03,2026-03-03 06:27:00,1772519220000,82
2026-03-03,2026-03-03 06:30:00,1772519400000,83
2026-03-03,2026-03-03 06:33:00,1772519580000,83
2026-03-03,2026-03-03 06:36:00,1772519760000,84
2026-03-03,2026-03-03 06:39:00,1772519940000,84
2026-03-03,2026-03-03 06:42:00,1772520120000,84
2026-03-03,2026-03-03 06:45:00,1772520300000,85
2026-03-03,2026-03-03 06:48:00,1772520480000,86
2026-03-03,2026-03-03 06:51:00,1772520660000,86
2026-03-03,2026-03-03 06:54:00,1772520840000,86
2026-03-03,2026-03-03 06:57:00,1772521020000,87
2026-03-03,2026-03-03 07:00:00,1772521200000,87
2026-03-03,2026-03-03 07:03:00,1772521380000,87
2026-03-03,2026-03-03 07:06:00,1772521560000,88
2026-03-03,2026-03-03 07:09:00,1772521740000,88
2026-03-03,2026-03-03 07:12:00,1772521920000,88
2026-03-03,2026-03-03 07:15:00,1772522100000,89
2026-03-03,2026-03-03 07:18:00,1772522280000,89
2026-03-03,2026-03-03 07:21:00,1772522460000,90
2026-03-03,2026-03-03 07:24:00,1772522640000,90
2026-03-03,2026-03-03 07:27:00,1772522820000,91
2026-03-03,2026-03-03 07:30:00,1772523000000,91
2026-03-03,2026-03-03 07:33:00,1772523180000,91
2026-03-03,2026-03-03 07:36:00,1772523360000,91
2026-03-03,2026-03-03 07:39:00,1772523540000,92
2026-03-03,2026-03-03 07:42:00,1772523720000,92
2026-03-03,2026-03-03 07:45:00,1772523900000,93
2026-03-03,2026-03-03 07:48:00,1772524080000,93
2026-03-03,2026-03-03 07:51:00,1772524260000,93
2026-03-03,2026-03-03 07:54:00,1772524440000,93
2026-03-03,2026-03-03 07:57:00,1772524620000,93
2026-03-03,2026-03-03 08:00:00,1772524800000,94
2026-03-03,2026-03-03 08:03:00,1772524980000,94
2026-03-03,2026-03-03 08:06:00,1772525160000,94
2026-03-03,2026-03-03 08:09:00,1772525340000,94
2026-03-03,2026-03-03 08:12:00,1772525520000,95
2026-03-03,2026-03-03 08:15:00,1772525700000,95
2026-03-03,2026-03-03 08:18:00,1772525880000,95
2026-03-03,2026-03-03 08:21:00,1772526060000,95
2026-03-03,2026-03-03 08:24:00,1772526240000,95
2026-03-03,2026-03-03 08:27:00,1772526420000,95
2026-03-03,2026-03-03 08:30:00,1772526600000,95
2026-03-03,2026-03-03 08:33:00,1772526780000,95
2026-03-03,2026-03-03 08:36:00,1772526960000,95
2026-03-03,2026-03-03 08:39:00,1772527140000,95
