date,start_time,end_time,movement_intensity
2026-03-02,2026-03-02T07:07:00.0,2026-03-02T07:08:00.0,4.0361589796740756
2026-03-02,2026-03-02T07:08:00.0,2026-03-02T07:09:00.0,3.8954138479086007
2026-03-02,2026-03-02T07:09:00.0,2026-03-02T07:10:00.0,3.7191790282714496
2026-03-02,2026-03-02T07:10:00.0,2026-03-02T07:11:00.0,3.515839779805606
2026-03-02,2026-03-02T07:11:00.0,2026-03-02T07:12:00.0,3.295013463049967
2026-03-02,2026-03-02T07:12:00.0,2026-03-02T07:13:00.0,3.0677046262614773
2026-03-02,2026-03-02T07:13:00.0,2026-03-02T07:14:00.0,2.84326772222359
2026-03-02,2026-03-02T07:14:00.0,2026-03-02T07:15:00.0,2.6327319111537086
2026-03-02,2026-03-02T07:15:00.0,2026-03-02T07:16:00.0,2.448629784433751
2026-03-02,2026-03-02T07:16:00.0,2026-03-02T07:17:00.0,2.294579037240059
2026-03-02,2026-03-02T07:17:00.0,2026-03-02T07:18:00.0,2.1844682284888126
2026-03-02,2026-03-02T07:18:00.0,2026-03-02T07:19:00.0,2.094365269461744
2026-03-02,2026-03-02T07:19:00.0,2026-03-02T07:20:00.0,2.030864466574093
2026-03-02,2026-03-02T07:20:00.0,2026-03-02T07:21:00.0,1.990392901059098
2026-03-02,2026-03-02T07:21:00.0,2026-03-02T07:22:00.0,1.956520870093259
2026-03-02,2026-03-02T07:22:00.0,2026-03-02T07:23:00.0,1.9622938139888482
2026-03-02,2026-03-02T07:23:00.0,2026-03-02T07:24:00.0,1.9887309834769267
2026-03-02,2026-03-02T07:24:00.0,2026-03-02T07:25:00.0,2.065388761003984
2026-03-02,2026-03-02T07:25:00.0,2026-03-02T07:26:00.0,2.2075357637455904
2026-03-02,2026-03-02T07:26:00.0,2026-03-02T07:27:00.0,2.4227572251377154
2026-03-02,2026-03-02T07:27:00.0,2026-03-02T07:28:00.0,2.7093815839506674
2026-03-02,2026-03-02T07:28:00.0,2026-03-02T07:29:00.0,3.0584453287756728
2026-03-02,2026-03-02T07:29:00.0,2026-03-02T07:30:00.0,3.456975957584429
2026-03-02,2026-03-02T07:30:00.0,2026-03-02T07:31:00.0,3.8906059449692356
2026-03-02,2026-03-02T07:31:00.0,2026-03-02T07:32:00.0,4.3450551169760425
2026-03-02,2026-03-02T07:32:00.0,2026-03-02T07:33:00.0,4.806839886292959
2026-03-02,2026-03-02T07:33:00.0,2026-03-02T07:34:00.0,5.263619882662678
2026-03-02,2026-03-02T07:34:00.0,2026-03-02T07:35:00.0,5.704416181371417
2026-03-03,2026-03-03T00:16:00.0,2026-03-03T00:17:00.0,5.712973711200119
2026-03-03,2026-03-03T00:17:00.0,2026-03-03T00:18:00.0,5.276254480091212
2026-03-03,2026-03-03T00:18:00.0,2026-03-03T00:19:00.0,4.824640124944041
2026-03-03,2026-03-03T00:19:00.0,2026-03-03T00:20:00.0,4.369184459730914
2026-03-03,2026-03-03T00:20:00.0,2026-03-03T00:21:00.0,3.9222282580234564
2026-03-03,2026-03-03T00:21:00.0,2026-03-03T00:22:00.0,3.497119014863689
2026-03-03,2026-03-03T00:22:00.0,2026-03-03T00:23:00.0,3.1077647534319417
