date,timestamp,timestamp_ms,respiration_rate
2026-03-01,2026-03-01 07:48:00,1772351280000,11.0
2026-03-01,2026-03-01 07:50:00,1772351400000,11.0
2026-03-01,2026-03-01 07:52:00,1772351520000,12.0
2026-03-01,2026-03-01 07:54:00,1772351640000,11.0
2026-03-01,2026-03-01 07:56:00,1772351760000,10.0
2026-03-01,2026-03-01 07:58:00,1772351880000,12.0
2026-03-01,2026-03-01 08:00:00,1772352000000,11.0
2026-03-01,2026-03-01 08:02:00,1772352120000,12.0
2026-03-01,2026-03-01 08:04:00,1772352240000,11.0
2026-03-01,2026-03-01 08:06:00,1772352360000,10.0
2026-03-01,2026-03-01 08:08:00,1772352480000,12.0
2026-03-01,2026-03-01 08:10:00,1772352600000,11.0
2026-03-01,2026-03-01 08:12:00,1772352720000,11.0
2026-03-01,2026-03-01 08:14:00,1772352840000,11.0
2026-03-01,2026-03-01 08:16:00,1772352960000,12.0
2026-03-01,2026-03-01 08:18:00,1772353080000,12.0
2026-03-01,2026-03-01 08:20:00,1772353200000,12.0
2026-03-01,2026-03-01 08:22:00,1772353320000,12.0
2026-03-01,2026-03-01 08:24:00,1772353440000,12.0
2026-03-01,2026-03-01 08:26:00,1772353560000,12.0
2026-03-01,2026-03-01 08:28:00,1772353680000,12.0
2026-03-01,2026-03-01 08:30:00,1772353800000,13.0
2026-03-01,2026-03-01 08:32:00,1772353920000,13.0
2026-03-01,2026-03-01 08:34:00,1772354040000,13.0
2026-03-01,2026-03-01 08:36:00,1772354160000,12.0
2026-03-01,2026-03-01 08:38:00,1772354280000,12.0
2026-03-01,2026-03-01 08:40:00,1772354400000,12.0
2026-03-01,2026-03-01 08:42:00,1772354520000,12.0
2026-03-01,2026-03-01 08:44:00,1772354640000,12.0
2026-03-01,2026-03-01 08:46:00,1772354760000,14.0
2026-03-01,2026-03-01 08:48:00,1772354880000,13.0
2026-03-02,2026-03-02 00:37:19,1772411839000,14.0
2026-03-02,2026-03-02 00:38:00,1772411880000,13.0
2026-03-02,2026-03-02 00:40:00,1772412000000,12.0
2026-03-02,2026-03-02 00:42:00,1772412120000,12.0
2026-03-02,2026-03-02 00:44:00,1772412240000,12.0
2026-03-02,2026-03-02 00:46:00,1772412360000,11.0
2026-03-02,2026-03-02 00:48:00,1772412480000,12.0
2026-03-02,2026-03-02 00:50:00,1772412600000,12.0
2026-03-02,2026-03-02 00:52:00,1772412720000,13.0
2026-03-02,2026-03-02 00:54:00,1772412840000,11.0
2026-03-02,2026-03-02 00:56:00,1772412960000,12.0
2026-03-02,2026-03-02 00:58:00,1772413080000,12.0
2026-03-02,2026-03-02 01:00:00,1772413200000,12.0
2026-03-02,2026-03-02 01:02:00,1772413320000,11.0
2026-03-02,2026-03-02 01:04:00,1772413440000,12.0
2026-03-02,2026-03-02 01:06:00,1772413560000,12.0
2026-03-02,2026-03-02 01:08:00,1772413680000,12.0
2026-03-02,2026-03-02 01:10:00,1772413800000,12.0
2026-03-02,2026-03-02 01:12:00,1772413920000,12.0
2026-03-02,2026-03-02 01:14:00,1772414040000,12.0
2026-03-02,2026-03-02 01:16:00,1772414160000,11.0
2026-03-02,2026-03-02 01:18:00,1772414280000,12.0
2026-03-02,2026-03-02 01:20:00,1772414400000,13.0
2026-03-02,2026-03-02 01:22:00,1772414520000,11.0
2026-03-02,2026-03-02 01:24:00,1772414640000,11.0
2026-03-02,2026-03-02 01:26:00,1772414760000,12.0
2026-03-02,2026-03-02 01:28:00,1772414880000,13.0
2026-03-02,2026-03-02 01:30:00,1772415000000,12.0
2026-03-02,2026-03-02 01:32:00,1772415120000,12.0
2026-03-02,2026-03-02 01:34:00,1772415240000,12.0
2026-03-02,2026-03-02 01:36:00,1772415360000,11.0
2026-03-02,2026-03-02 01:38:00,1772415480000,8.0
2026-03-02,2026-03-02 01:40:00,1772415600000,12.0
2026-03-02,2026-03-02 01:42:00,1772415720000,11.0
2026-03-02,2026-03-02 01:44:00,1772415840000,12.0
2026-03-02,2026-03-02 01:46:00,1772415960000,12.0
2026-03-02,2026-03-02 01:48:00,1772416080000,13.0
2026-03-02,2026-03-02 01:50:00,1772416200000,12.0
2026-03-02,2026-03-02 01:52:00,1772416320000,13.0
2026-03-02,2026-03-02 01:54:00,1772416440000,13.0
2026-03-02,2026-03-02 01:56:00,1772416560000,13.0
2026-03-02,2026-03-02 01:58:00,1772416680000,13.0
2026-03-02,2026-03-02 02:00:00,1772416800000,14.0
2026-03-02,2026-03-02 02:02:00,1772416920000,15.0
2026-03-02,2026-03-02 02:04:00,1772417040000,11.0
2026-03-02,2026-03-02 02:06:00,1772417160000,11.0
2026-03-02,2026-03-02 02:08:00,1772417280000,12.0
2026-03-02,2026-03-02 02:10:00,1772417400000,12.0
2026-03-02,2026-03-02 02:12:00,1772417520000,12.0
2026-03-02,2026-03-02 02:14:00,1772417640000,12.0
2026-03-02,2026-03-02 02:16:00,1772417760000,13.0
2026-03-02,2026-03-02 02:18:00,1772417880000,10.0
2026-03-02,2026-03-02 02:20:00,1772418000000,10.0
2026-03-02,2026-03-02 02:22:00,1772418120000,11.0
2026-03-02,2026-03-02 02:24:00,1772418240000,11.0
2026-03-02,2026-03-02 02:26:00,1772418360000,13.0
2026-03-02,2026-03-02 02:28:00,1772418480000,13.0
2026-03-02,2026-03-02 02:30:00,1772418600000,11.0
2026-03-02,2026-03-02 02:32:00,1772418720000,13.0
2026-03-02,2026-03-02 02:34:00,1772418840000,13.0
2026-03-02,2026-03-02 02:36:00,1772418960000,13.0
2026-03-02,2026-03-02 02:38:00,1772419080000,13.0
2026-03-02,2026-03-02 02:40:00,1772419200000,13.0
2026-03-02,2026-03-02 02:42:00,1772419320000,13.0
2026-03-02,2026-03-02 02:44:00,1772419440000,13.0
2026-03-02,2026-03-02 02:46:00,1772419560000,12.0
2026-03-02,2026-03-02 02:48:00,1772419680000,13.0
2026-03-02,2026-03-02 02:50:00,1772419800000,13.0
2026-03-02,2026-03-02 02:52:00,1772419920000,13.0
2026-03-02,2026-03-02 02:54:00,1772420040000,13.0
2026-03-02,2026-03-02 02:56:00,1772420160000,12.0
2026-03-02,2026-03-02 02:58:00,1772420280000,12.0
2026-03-02,2026-03-02 03:00:00,1772420400000,12.0
