date,timestamp,timestamp_ms,stress_level
2026-03-03,2026-03-03 13:51:00,1772545860000,24
2026-03-03,2026-03-03 13:54:00,1772546040000,22
2026-03-03,2026-03-03 13:57:00,1772546220000,-1
2026-03-03,2026-03-03 14:00:00,1772546400000,25
2026-03-03,2026-03-03 14:03:00,1772546580000,18
2026-03-03,2026-03-03 14:06:00,1772546760000,32
2026-03-03,2026-03-03 14:09:00,1772546940000,34
2026-03-03,2026-03-03 14:12:00,1772547120000,52
2026-03-03,2026-03-03 14:15:00,1772547300000,42
2026-03-03,2026-03-03 14:18:00,1772547480000,23
2026-03-03,2026-03-03 14:21:00,1772547660000,33
2026-03-03,2026-03-03 14:24:00,1772547840000,17
2026-03-03,2026-03-03 14:27:00,1772548020000,-1
2026-03-03,2026-03-03 14:30:00,1772548200000,15
2026-03-03,2026-03-03 14:33:00,1772548380000,16
2026-03-03,2026-03-03 14:36:00,1772548560000,25
2026-03-03,2026-03-03 14:39:00,1772548740000,16
2026-03-03,2026-03-03 14:42:00,1772548920000,17
2026-03-03,2026-03-03 14:45:00,1772549100000,18
2026-03-03,2026-03-03 14:48:00,1772549280000,17
2026-03-03,2026-03-03 14:51:00,1772549460000,21
2026-03-03,2026-03-03 14:54:00,1772549640000,-1
2026-03-03,2026-03-03 14:57:00,1772549820000,-2
2026-03-03,2026-03-03 15:00:00,1772550000000,28
2026-03-03,2026-03-03 15:03:00,1772550180000,-2
2026-03-03,2026-03-03 15:06:00,1772550360000,56
2026-03-03,2026-03-03 15:09:00,1772550540000,22
2026-03-03,2026-03-03 15:12:00,1772550720000,20
2026-03-03,2026-03-03 15:15:00,1772550900000,17
2026-03-03,2026-03-03 15:18:00,1772551080000,22
2026-03-03,2026-03-03 15:21:00,1772551260000,23
2026-03-03,2026-03-03 15:24:00,1772551440000,25
2026-03-03,2026-03-03 15:27:00,1772551620000,25
2026-03-03,2026-03-03 15:30:00,1772551800000,43
2026-03-03,2026-03-03 15:33:00,1772551980000,21
2026-03-03,2026-03-03 15:36:00,1772552160000,21
2026-03-03,2026-03-03 15:39:00,1772552340000,28
2026-03-03,2026-03-03 15:42:00,1772552520000,21
2026-03-03,2026-03-03 15:45:00,1772552700000,27
2026-03-03,2026-03-03 15:48:00,1772552880000,19
2026-03-03,2026-03-03 15:51:00,1772553060000,24
2026-03-03,2026-03-03 15:54:00,1772553240000,21
2026-03-03,2026-03-03 15:57:00,1772553420000,21
2026-03-03,2026-03-03 16:00:00,1772553600000,20
2026-03-03,2026-03-03 16:03:00,1772553780000,43
2026-03-03,2026-03-03 16:06:00,1772553960000,56
2026-03-03,2026-03-03 16:09:00,1772554140000,24
2026-03-03,2026-03-03 16:12:00,1772554320000,32
2026-03-03,2026-03-03 16:15:00,1772554500000,27
2026-03-03,2026-03-03 16:18:00,1772554680000,23
2026-03-03,2026-03-03 16:21:00,1772554860000,-2
2026-03-03,2026-03-03 16:24:00,1772555040000,39
2026-03-03,2026-03-03 16:27:00,1772555220000,20
2026-03-03,2026-03-03 16:30:00,1772555400000,22
2026-03-03,2026-03-03 16:33:00,1772555580000,24
2026-03-03,2026-03-03 16:36:00,1772555760000,37
2026-03-03,2026-03-03 16:39:00,1772555940000,56
2026-03-03,2026-03-03 16:42:00,1772556120000,21
2026-03-03,2026-03-03 16:45:00,1772556300000,21
2026-03-03,2026-03-03 16:48:00,1772556480000,25
2026-03-03,2026-03-03 16:51:00,1772556660000,24
2026-03-03,2026-03-03 16:54:00,1772556840000,20
2026-03-03,2026-03-03 16:57:00,1772557020000,18
2026-03-03,2026-03-03 17:00:00,1772557200000,12
2026-03-03,2026-03-03 17:03:00,1772557380000,22
2026-03-03,2026-03-03 17:06:00,1772557560000,19
2026-03-03,2026-03-03 17:09:00,1772557740000,19
2026-03-03,2026-03-03 17:12:00,1772557920000,18
2026-03-03,2026-03-03 17:15:00,1772558100000,28
2026-03-03,2026-03-03 17:18:00,1772558280000,20
2026-03-03,2026-03-03 17:21:00,1772558460000,20
2026-03-03,2026-03-03 17:24:00,1772558640000,20
2026-03-03,2026-03-03 17:27:00,1772558820000,-1
2026-03-03,2026-03-03 17:30:00,1772559000000,-2
2026-03-03,2026-03-03 17:33:00,1772559180000,55
2026-03-03,2026-03-03 17:36:00,1772559360000,34
2026-03-03,2026-03-03 17:39:00,1772559540000,22
2026-03-03,2026-03-03 17:42:00,1772559720000,46
2026-03-03,2026-03-03 17:45:00,1772559900000,34
2026-03-03,2026-03-03 17:48:00,1772560080000,28
2026-03-03,2026-03-03 17:51:00,1772560260000,41
2026-03-03,2026-03-03 17:54:00,1772560440000,22
2026-03-03,2026-03-03 17:57:00,1772560620000,30
2026-03-03,2026-03-03 18:00:00,1772560800000,-1
2026-03-03,2026-03-03 18:03:00,1772560980000,-2
2026-03-03,2026-03-03 18:06:00,1772561160000,-1
2026-03-03,2026-03-03 18:09:00,1772561340000,-2
2026-03-03,2026-03-03 18:12:00,1772561520000,-2
2026-03-03,2026-03-03 18:15:00,1772561700000,-2
2026-03-03,2026-03-03 18:18:00,1772561880000,-2
2026-03-03,2026-03-03 18:21:00,1772562060000,-2
2026-03-03,2026-03-03 18:24:00,1772562240000,-2
2026-03-03,2026-03-03 18:27:00,1772562420000,-2
2026-03-03,2026-03-03 18:30:00,1772562600000,-2
2026-03-03,2026-03-03 18:33:00,1772562780000,-2
2026-03-03,2026-03-03 18:36:00,1772562960000,-2
2026-03-03,2026-03-03 18:39:00,1772563140000,-2
2026-03-03,2026-03-03 18:42:00,1772563320000,-2
2026-03-03,2026-03-03 18:45:00,1772563500000,-2
2026-03-03,2026-03-03 18:48:00,1772563680000,-2
2026-03-03,2026-03-03 18:51:00,1772563860000,-2
2026-03-03,2026-03-03 18:54:00,1772564040000,-1
2026-03-03,2026-03-03 18:57:00,1772564220000,-2
2026-03-03,2026-03-03 19:00:00,1772564400000,-1
2026-03-03,2026-03-03 19:03:00,1772564580000,-1
2026-03-03,2026-03-03 19:06:00,1772564760000,-1
2026-03-03,2026-03-03 19:09:00,1772564940000,-1
2026-03-03,2026-03-03 19:12:00,1772565120000,-1
2026-03-03,2026-03-03 19:15:00,1772565300000,-1
2026-03-03,2026-03-03 19:18:00,1772565480000,-1
2026-03-03,2026-03-03 19:21:00,1772565660000,-1
2026-03-03,2026-03-03 19:24:00,1772565840000,15
2026-03-03,2026-03-03 19:27:00,1772566020000,23
2026-03-03,2026-03-03 19:30:00,1772566200000,21
2026-03-03,2026-03-03 19:33:00,1772566380000,17
2026-03-03,2026-03-03 19:36:00,1772566560000,20
2026-03-03,2026-03-03 19:39:00,1772566740000,15
2026-03-03,2026-03-03 19:42:00,1772566920000,19
2026-03-03,2026-03-03 19:45:00,1772567100000,16
2026-03-03,2026-03-03 19:48:00,1772567280000,17
2026-03-03,2026-03-03 19:51:00,1772567460000,18
2026-03-03,2026-03-03 19:54:00,1772567640000,19
2026-03-03,2026-03-03 19:57:00,1772567820000,23
2026-03-03,2026-03-03 20:00:00,1772568000000,28
2026-03-03,2026-03-03 20:03:00,1772568180000,-2
2026-03-03,2026-03-03 20:06:00,1772568360000,-2
2026-03-03,2026-03-03 20:09:00,1772568540000,-2
2026-03-03,2026-03-03 20:12:00,1772568720000,-2
2026-03-03,2026-03-03 20:15:00,1772568900000,-2
2026-03-03,2026-03-03 20:18:00,1772569080000,-2
2026-03-03,2026-03-03 20:21:00,1772569260000,-2
2026-03-03,2026-03-03 20:24:00,1772569440000,-2
2026-03-03,2026-03-03 20:27:00,1772569620000,-2
2026-03-03,2026-03-03 20:30:00,1772569800000,-2
2026-03-03,2026-03-03 20:33:00,1772569980000,-1
2026-03-03,2026-03-03 20:36:00,1772570160000,-2
2026-03-03,2026-03-03 20:39:00,1772570340000,-2
2026-03-03,2026-03-03 20:42:00,1772570520000,-1
2026-03-03,2026-03-03 20:45:00,1772570700000,-1
2026-03-03,2026-03-03 20:48:00,1772570880000,-1
2026-03-03,2026-03-03 20:51:00,1772571060000,-1
2026-03-03,2026-03-03 20:54:00,1772571240000,-2
2026-03-03,2026-03-03 20:57:00,1772571420000,-1
2026-03-03,2026-03-03 21:00:00,1772571600000,-1
2026-03-03,2026-03-03 21:03:00,1772571780000,-1
2026-03-03,2026-03-03 21:06:00,1772571960000,66
2026-03-03,2026-03-03 21:09:00,1772572140000,71
2026-03-03,2026-03-03 21:12:00,1772572320000,-1
2026-03-03,2026-03-03 21:15:00,1772572500000,64
2026-03-03,2026-03-03 21:18:00,1772572680000,-1
2026-03-03,2026-03-03 21:21:00,1772572860000,66
2026-03-03,2026-03-03 21:24:00,1772573040000,73
2026-03-03,2026-03-03 21:27:00,1772573220000,73
2026-03-03,2026-03-03 21:30:00,1772573400000,71
2026-03-03,2026-03-03 21:33:00,1772573580000,79
2026-03-03,2026-03-03 21:36:00,1772573760000,-2
2026-03-03,2026-03-03 21:39:00,1772573940000,-1
2026-03-03,2026-03-03 21:42:00,1772574120000,-2
2026-03-03,2026-03-03 21:45:00,1772574300000,-1
2026-03-03,2026-03-03 21:48:00,1772574480000,76
2026-03-03,2026-03-03 21:51:00,1772574660000,-2
2026-03-03,2026-03-03 21:54:00,1772574840000,-1
2026-03-03,2026-03-03 21:57:00,1772575020000,-1
2026-03-03,2026-03-03 22:00:00,1772575200000,-1
2026-03-03,2026-03-03 22:03:00,1772575380000,-1
2026-03-03,2026-03-03 22:06:00,1772575560000,-1
2026-03-03,2026-03-03 22:09:00,1772575740000,-1
2026-03-03,2026-03-03 22:12:00,1772575920000,-1
