date,timestamp,timestamp_ms,heart_rate
2026-03-01,2026-03-01 07:54:00,1772351640000,48
2026-03-01,2026-03-01 07:56:00,1772351760000,47
2026-03-01,2026-03-01 07:58:00,1772351880000,49
2026-03-01,2026-03-01 08:00:00,1772352000000,48
2026-03-01,2026-03-01 08:02:00,1772352120000,46
2026-03-01,2026-03-01 08:04:00,1772352240000,46
2026-03-01,2026-03-01 08:06:00,1772352360000,46
2026-03-01,2026-03-01 08:08:00,1772352480000,49
2026-03-01,2026-03-01 08:10:00,1772352600000,47
2026-03-01,2026-03-01 08:12:00,1772352720000,47
2026-03-01,2026-03-01 08:14:00,1772352840000,47
2026-03-01,2026-03-01 08:16:00,1772352960000,47
2026-03-01,2026-03-01 08:18:00,1772353080000,47
2026-03-01,2026-03-01 08:20:00,1772353200000,48
2026-03-01,2026-03-01 08:22:00,1772353320000,47
2026-03-01,2026-03-01 08:24:00,1772353440000,47
2026-03-01,2026-03-01 08:26:00,1772353560000,48
2026-03-01,2026-03-01 08:28:00,1772353680000,48
2026-03-01,2026-03-01 08:30:00,1772353800000,48
2026-03-01,2026-03-01 08:32:00,1772353920000,47
2026-03-01,2026-03-01 08:34:00,1772354040000,47
2026-03-01,2026-03-01 08:36:00,1772354160000,46
2026-03-01,2026-03-01 08:38:00,1772354280000,47
2026-03-01,2026-03-01 08:40:00,1772354400000,47
2026-03-01,2026-03-01 08:42:00,1772354520000,45
2026-03-01,2026-03-01 08:44:00,1772354640000,46
2026-03-01,2026-03-01 08:46:00,1772354760000,46
2026-03-01,2026-03-01 08:48:00,1772354880000,46
2026-03-01,2026-03-01 08:50:00,1772355000000,55
2026-03-01,2026-03-01 08:52:00,1772355120000,61
2026-03-01,2026-03-01 08:54:00,1772355240000,57
2026-03-01,2026-03-01 08:56:00,1772355360000,56
2026-03-01,2026-03-01 08:58:00,1772355480000,62
2026-03-01,2026-03-01 09:16:00,1772356560000,75
2026-03-01,2026-03-01 09:18:00,1772356680000,78
2026-03-01,2026-03-01 09:20:00,1772356800000,63
2026-03-01,2026-03-01 09:22:00,1772356920000,57
2026-03-01,2026-03-01 09:24:00,1772357040000,57
2026-03-01,2026-03-01 09:26:00,1772357160000,56
2026-03-01,2026-03-01 09:28:00,1772357280000,59
2026-03-01,2026-03-01 09:30:00,1772357400000,63
2026-03-01,2026-03-01 09:32:00,1772357520000,61
2026-03-01,2026-03-01 09:34:00,1772357640000,59
2026-03-01,2026-03-01 09:36:00,1772357760000,60
2026-03-01,2026-03-01 09:38:00,1772357880000,56
2026-03-01,2026-03-01 09:40:00,1772358000000,57
2026-03-01,2026-03-01 09:42:00,1772358120000,60
2026-03-01,2026-03-01 09:44:00,1772358240000,62
2026-03-01,2026-03-01 09:46:00,1772358360000,62
2026-03-01,2026-03-01 09:48:00,1772358480000,68
2026-03-01,2026-03-01 09:50:00,1772358600000,65
2026-03-01,2026-03-01 09:52:00,1772358720000,69
2026-03-01,2026-03-01 09:54:00,1772358840000,72
2026-03-01,2026-03-01 09:56:00,1772358960000,66
2026-03-01,2026-03-01 09:58:00,1772359080000,67
2026-03-01,2026-03-01 10:00:00,1772359200000,69
2026-03-01,2026-03-01 10:02:00,1772359320000,64
2026-03-01,2026-03-01 10:04:00,1772359440000,66
2026-03-01,2026-03-01 10:06:00,1772359560000,69
2026-03-01,2026-03-01 10:08:00,1772359680000,66
2026-03-01,2026-03-01 10:10:00,1772359800000,64
2026-03-01,2026-03-01 10:12:00,1772359920000,66
2026-03-01,2026-03-01 10:14:00,1772360040000,66
2026-03-01,2026-03-01 10:16:00,1772360160000,68
2026-03-01,2026-03-01 10:18:00,1772360280000,64
2026-03-01,2026-03-01 10:20:00,1772360400000,65
2026-03-01,2026-03-01 10:22:00,1772360520000,71
2026-03-01,2026-03-01 10:24:00,1772360640000,67
2026-03-01,2026-03-01 10:26:00,1772360760000,75
2026-03-01,2026-03-01 10:28:00,1772360880000,70
2026-03-01,2026-03-01 10:30:00,1772361000000,65
2026-03-01,2026-03-01 10:32:00,1772361120000,60
2026-03-01,2026-03-01 10:34:00,1772361240000,63
2026-03-01,2026-03-01 10:36:00,1772361360000,75
2026-03-01,2026-03-01 10:38:00,1772361480000,66
2026-03-01,2026-03-01 10:40:00,1772361600000,66
2026-03-01,2026-03-01 10:42:00,1772361720000,73
2026-03-01,2026-03-01 10:44:00,1772361840000,83
2026-03-01,2026-03-01 10:46:00,1772361960000,72
2026-03-01,2026-03-01 10:48:00,1772362080000,63
2026-03-01,2026-03-01 10:50:00,1772362200000,64
2026-03-01,2026-03-01 10:52:00,1772362320000,66
2026-03-01,2026-03-01 10:54:00,1772362440000,62
2026-03-01,2026-03-01 10:56:00,1772362560000,64
2026-03-01,2026-03-01 10:58:00,1772362680000,64
2026-03-01,2026-03-01 11:00:00,1772362800000,63
2026-03-01,2026-03-01 11:02:00,1772362920000,66
2026-03-01,2026-03-01 11:04:00,1772363040000,74
2026-03-01,2026-03-01 11:06:00,1772363160000,70
2026-03-01,2026-03-01 11:08:00,1772363280000,63
2026-03-01,2026-03-01 11:10:00,1772363400000,60
2026-03-01,2026-03-01 11:12:00,1772363520000,71
2026-03-01,2026-03-01 11:14:00,1772363640000,66
2026-03-01,2026-03-01 11:16:00,1772363760000,78
2026-03-01,2026-03-01 11:18:00,1772363880000,58
2026-03-01,2026-03-01 11:20:00,1772364000000,60
2026-03-01,2026-03-01 11:22:00,1772364120000,62
2026-03-01,2026-03-01 11:24:00,1772364240000,64
2026-03-01,2026-03-01 11:26:00,1772364360000,57
2026-03-01,2026-03-01 11:28:00,1772364480000,62
